value,ij,t
0.0,n13 => n12,63
0.0,n13 => n12,64
0.0,n13 => n12,65
0.0,n13 => n12,66
0.0,n13 => n12,67
0.0,n13 => n12,68
0.0,n13 => n12,69
0.0,n13 => n12,70
0.0,n13 => n12,71
0.0,n13 => n12,72
0.0,n13 => n12,73
0.0,n13 => n12,74
0.0,n13 => n12,75
0.0,n13 => n12,76
0.0,n13 => n12,77
0.0,n13 => n12,78
0.0,n13 => n12,79
0.0,n13 => n12,80
0.0,n13 => n12,81
0.0,n13 => n12,82
0.0,n13 => n12,83
0.0,n13 => n12,84
0.0,n13 => n12,85
0.0,n13 => n12,86
0.0,n13 => n12,87
0.0,n13 => n12,88
0.0,n13 => n12,89
0.0,n13 => n12,90
0.0,n13 => n12,91
0.0,n13 => n12,92
0.0,n13 => n12,93
0.0,n13 => n12,94
0.0,n13 => n12,95
0.0,n13 => n12,96
0.0,n27 => n21,0
0.0,n27 => n21,1
0.0,n27 => n21,2
0.0,n27 => n21,3
0.0,n27 => n21,4
0.0,n27 => n21,5
0.0,n27 => n21,6
0.0,n27 => n21,7
0.0,n27 => n21,8
0.0,n27 => n21,9
0.0,n27 => n21,10
0.0,n27 => n21,11
0.0,n27 => n21,12
0.0,n27 => n21,13
0.0,n27 => n21,14
0.0,n27 => n21,15
0.0,n27 => n21,16
0.0,n27 => n21,17
0.0,n27 => n21,18
0.0,n27 => n21,19
0.0,n27 => n21,20
0.0,n27 => n21,21
0.0,n27 => n21,22
0.0,n27 => n21,23
0.0,n27 => n21,24
0.0,n27 => n21,25
0.0,n27 => n21,26
0.0,n27 => n21,27
0.0,n27 => n21,28
0.0,n27 => n21,29
0.0,n27 => n21,30
0.0,n27 => n21,31
0.0,n27 => n21,32
0.0,n27 => n21,33
0.0,n27 => n21,34
0.0,n27 => n21,35
0.0,n27 => n21,36
0.0,n27 => n21,37
0.0,n27 => n21,38
0.0,n27 => n21,39
0.0,n27 => n21,40
0.0,n27 => n21,41
0.0,n27 => n21,42
0.0,n27 => n21,43
0.0,n27 => n21,44
0.0,n27 => n21,45
0.0,n27 => n21,46
0.0,n27 => n21,47
0.0,n27 => n21,48
0.0,n27 => n21,49
0.0,n27 => n21,50
